date,y,yhat_lstm,yhat_lstm_0,yhat_lstm_1,predict,predicttrue
2016/3/24,0.253108153,0,0.480323821,0.519676149,0.126554077,1
2016/3/25,0.138902691,0,0.473297894,0.526702106,0.069451346,1
2016/3/28,0.07439554,-1,0.547318399,0.452681661,-0.03719777,0
2016/3/29,0.262786179,-1,0.591884673,0.408115327,-0.13139309,0
2016/3/30,0.03959612,-1,0.545467615,0.454532385,-0.01979806,0
2016/3/31,-0.074229869,-1,0.564915836,0.435084224,0.037114935,1
2016/4/1,-0.267658152,0,0.437430978,0.562568963,-0.133829076,0
2016/4/5,-0.630353247,0,0.454454482,0.545545518,-0.315176624,0
2016/4/6,-0.238201691,0,0.417903036,0.582096994,-0.119100846,0
2016/4/7,-0.148831699,0,0.490741253,0.509258747,-0.07441585,0
2016/4/8,-0.133951847,-1,0.524867892,0.475132048,0.066975924,1
2016/4/11,-0.436703587,0,0.464418679,0.535581291,-0.218351794,0
2016/4/12,-0.515976537,-1,0.788602889,0.211397097,0.257988269,1
2016/4/13,-0.41670861,-1,0.775103629,0.224896356,0.208354305,1
2016/4/14,-0.362976805,0,0.195095092,0.804904938,-0.181488403,0
2016/4/15,0.164175057,0,0.176370695,0.82362932,0.082087529,1
2016/4/18,-0.094445142,0,0.2355358,0.7644642,-0.047222571,0
2016/4/19,-0.039725892,0,0.330066293,0.669933677,-0.019862946,0
2016/4/20,-0.114248826,0,0.334890783,0.665109277,-0.057124413,0
2016/4/21,0.293000483,0,0.380483419,0.619516551,0.146500242,1
2016/4/22,0.357497898,-1,0.503695726,0.496304244,-0.178748949,0
2016/4/25,0.32260494,0,0.447601199,0.552398801,0.16130247,1
2016/4/26,0.541495151,0,0.36580199,0.63419801,0.270747576,1
2016/4/27,0.540367673,-1,0.501559973,0.498439968,-0.270183837,0
2016/4/28,0.63454506,-1,0.546520293,0.453479737,-0.31727253,0
2016/4/29,0.421282808,0,0.475705981,0.524294019,0.210641404,1
2016/5/3,0.599590508,-1,0.689626217,0.310373813,-0.299795254,0
2016/5/4,0.331691683,-1,0.751529336,0.248470649,-0.165845842,0
2016/5/5,0.148581078,-1,0.705270112,0.294729948,-0.074290539,0
2016/5/6,0.113903689,-1,0.852280915,0.14771913,-0.056951845,0
2016/5/9,-0.039643212,-1,0.846236706,0.153763339,0.019821606,1
2016/5/10,-0.237600349,-1,0.949440658,0.05055942,0.118800175,1
2016/5/11,-0.178059202,-1,0.943158269,0.056841787,0.089029601,1
2016/5/12,-0.133627003,-1,0.834738851,0.165261194,0.066813502,1
2016/5/13,-0.133481666,0,0.488070339,0.511929631,-0.066740833,0
2016/5/16,-0.118688506,-1,0.747193217,0.252806783,0.059344253,1
2016/5/17,-0.118847196,-1,0.663231015,0.336768985,0.059423598,1
2016/5/18,-0.118858968,-1,0.738559365,0.261440665,0.059429484,1
2016/5/19,0.148581078,-1,0.954105616,0.045894448,-0.074290539,0
2016/5/20,0.148566362,-1,0.969152749,0.030847223,-0.074283181,0
2016/5/23,0,-1,0.835257769,0.164742261,0,0
2016/5/24,0.039611805,-1,0.68830806,0.31169191,-0.019805903,0
2016/5/25,-0.069282925,-1,0.803661227,0.196338728,0.034641463,1
